"ensembl_gene_id"	"mgi_symbol"	"gene_biotype"	"description"	"P.Value_NAC_F_FENT"	"P.Value_NAC_M_FENT"	"P.Value_NAC_FENT"	"P.Value_NAC_FENT_INPUT"	"P.Value_NAC_SAL_INPUT"	"P.Value_NAC_PFC_FENT"	"P.Value_NAC_PFC_SAL"	"logFC_NAC_F_FENT"	"logFC_NAC_M_FENT"	"logFC_NAC_FENT"	"logFC_NAC_FENT_INPUT"	"logFC_NAC_SAL_INPUT"	"logFC_NAC_PFC_FENT"	"logFC_NAC_PFC_SAL"
"ENSMUSG00000000001"	"Gnai3"	"protein_coding"	"G protein subunit alpha i3 [Source:MGI Symbol;Acc:MGI:95773]"	0.0194138882678159	0.82086507351371	0.111477533771053	0.0140404125426581	0.000411920787495323	0.0405914723631487	5.20712492716971e-05	-0.273868032370601	0.0238137009085309	-0.125027165731035	0.176659906619856	0.289647462147173	0.150615645112226	0.359662582112002
"ENSMUSG00000000028"	"Cdc45"	"protein_coding"	"cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]"	0.00433669092908894	0.846166257807502	0.04452379405671	0.00116331932228383	1.25309567217938e-05	0.714939498803866	0.703888987191202	1.11673996454693	-0.0673931197041753	0.524673422421377	-0.786774247201623	-1.21810014503563	0.087217195300699	0.104034745197496
"ENSMUSG00000000049"	"Apoh"	"protein_coding"	"apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]"	0.231920103781647	0.415786441586603	0.15403211371992	2.76496221826744e-27	2.11976141224431e-24	0.737093964574773	0.90331745386319	-0.546503811866199	-0.340610420874451	-0.443557116370325	-5.3411927635509	-5.19177898592902	-0.0963353353060342	0.0399370884473912
"ENSMUSG00000000056"	"Narf"	"protein_coding"	"nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"	0.199950320495714	0.173272781841608	0.982422079062558	1.03818751719443e-14	1.51198269824618e-13	0.727058715211461	0.137127683091207	-0.136023651123966	0.132870659113967	-0.00157649600499976	0.656394204211291	0.677270952231845	-0.0232320890401918	0.114418314028789
"ENSMUSG00000000058"	"Cav2"	"protein_coding"	"caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"	0.957624215505821	0.648954982536057	0.78793020228372	0.00144691892775289	9.51583298802561e-05	0.99684251286196	0.553907481733889	-0.00836574876220553	0.0658902224202778	0.0287622368290361	-0.320733359527526	-0.445496286693019	0.000393278693224808	0.0675231638716143
"ENSMUSG00000000078"	"Klf6"	"protein_coding"	"Kruppel-like transcription factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"	0.0725935372814845	0.144218247469298	0.0222638837281297	6.42587228466884e-06	0.0319959369555349	0.00133265431440704	0.698221679335086	0.304765247253093	0.226636390453079	0.265700818853086	0.505435465531151	0.248599801138176	0.354460355197262	0.0469997687455272
"ENSMUSG00000000085"	"Scmh1"	"protein_coding"	"sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]"	0.61365364291719	0.5776149100483	0.996015247038038	1.32505606926824e-06	0.000104557968784455	0.00580276125276315	0.000380115683601561	-0.0655901601280684	0.0664702147549825	0.000440027313457048	0.42561846617782	0.36478000043434	0.23345375762357	0.352267283711187
"ENSMUSG00000000088"	"Cox5a"	"protein_coding"	"cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]"	0.253183839369381	0.135004103923626	0.861452305154569	1.57294801403555e-09	6.39606229863553e-08	3.2580210920782e-06	8.1723713001303e-05	0.14798935028272	-0.178516257289377	-0.0152634535033287	-0.559780098582368	-0.537750390302442	-0.415780165621118	-0.392524364722962
"ENSMUSG00000000094"	"Tbx4"	"protein_coding"	"T-box 4 [Source:MGI Symbol;Acc:MGI:102556]"	0.605575136245687	0.468133274527065	0.911495890589965	7.14059766612065e-09	1.00133670780097e-06	0.640722912428337	0.358613845717311	-0.207360824169185	0.267900701438514	0.0302699386346645	-1.64860677226468	-1.47871524769799	0.118265427583884	0.267349363468273
"ENSMUSG00000000126"	"Wnt9a"	"protein_coding"	"wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]"	0.104183062747074	0.828276387515366	0.2898925588834	0.0249946801638183	0.304882722616245	0.0170463630016453	0.393632600314616	0.495252226166831	-0.0600638396333173	0.217594193266757	0.422642013557129	0.210885247900137	0.465009125864172	0.186585458712055
