"ensembl_gene_id"	"mgi_symbol"	"gene_biotype"	"description"	"P.Value_PFC_F_FENT"	"P.Value_PFC_M_FENT"	"P.Value_PFC_FENT"	"P.Value_PFC_FENT_INPUT"	"P.Value_PFC_SAL_INPUT"	"P.Value_NAC_PFC_FENT"	"P.Value_NAC_PFC_SAL"	"logFC_PFC_F_FENT"	"logFC_PFC_M_FENT"	"logFC_PFC_FENT"	"logFC_PFC_FENT_INPUT"	"logFC_PFC_SAL_INPUT"	"logFC_NAC_PFC_FENT"	"logFC_NAC_PFC_SAL"
"ENSMUSG00000000001"	"Gnai3"	"protein_coding"	"G protein subunit alpha i3 [Source:MGI Symbol;Acc:MGI:95773]"	0.109055798999782	0.793964314043565	0.282001203077952	0.718658616714901	0.356833532349061	0.0405914723631487	5.20712492716971e-05	0.193937173817921	-0.0258976312804364	0.0840197712687423	0.0260442615076308	-0.0700151199648298	0.150615645112226	0.359662582112002
"ENSMUSG00000000028"	"Cdc45"	"protein_coding"	"cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]"	0.706941520100292	0.00575161483280616	0.03833282369508	0.000507776300101922	1.71566989533008e-06	0.714939498803866	0.703888987191202	0.148757351903045	0.934224592733303	0.541490972318174	-0.873991442502322	-1.32213489023312	0.087217195300699	0.104034745197496
"ENSMUSG00000000049"	"Apoh"	"protein_coding"	"apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]"	0.570505174493947	0.382737855380894	0.32124426591916	3.30255412777901e-26	3.95543043112689e-25	0.737093964574773	0.90331745386319	-0.269966917387334	-0.344602467846466	-0.3072846926169	-5.24485742824487	-5.23171607437641	-0.0963353353060342	0.0399370884473912
"ENSMUSG00000000056"	"Narf"	"protein_coding"	"nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"	0.0714057960375801	0.439927201545191	0.060989044286567	8.74767143672323e-15	3.36532381933151e-11	0.727058715211461	0.137127683091207	0.201478674774038	0.0706691393539227	0.13607390706398	0.679626293251482	0.562852638203056	-0.0232320890401918	0.114418314028789
"ENSMUSG00000000058"	"Cav2"	"protein_coding"	"caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"	0.91522922168133	0.204320678870438	0.371280081998637	0.00192912241972364	6.49444010331491e-06	0.99684251286196	0.553907481733889	0.0175276251273702	0.174256618887481	0.0958921220074258	-0.32112663822075	-0.513019450564633	0.000393278693224808	0.0675231638716143
"ENSMUSG00000000078"	"Klf6"	"protein_coding"	"Kruppel-like transcription factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"	0.721244443779005	0.315964438634531	0.713520160928606	0.156677090130461	0.072570396863478	0.00133265431440704	0.698221679335086	0.0625143318176908	-0.14603386701499	-0.0417597675986494	0.150975110333889	0.201600032392649	0.354460355197262	0.0469997687455272
"ENSMUSG00000000085"	"Scmh1"	"protein_coding"	"sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]"	0.0556452225791577	0.821837860224456	0.179212688090263	0.0217977841052371	0.884113554327544	0.00580276125276315	0.000380115683601561	0.263820617530204	-0.0253135107280533	0.119253553401075	0.19216470855425	0.012512716723152	0.23345375762357	0.352267283711187
"ENSMUSG00000000088"	"Cox5a"	"protein_coding"	"cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]"	0.450293878849466	0.29269862149167	0.927178873966152	0.0804013233953049	0.0921294512400308	3.2580210920782e-06	8.1723713001303e-05	-0.101935670135759	0.117920364925414	0.00799234739482735	-0.14399993296125	-0.14522602557948	-0.415780165621118	-0.392524364722962
"ENSMUSG00000000094"	"Tbx4"	"protein_coding"	"T-box 4 [Source:MGI Symbol;Acc:MGI:102556]"	0.0601368558225724	0.206533291618701	0.510908805263632	2.50647892952196e-09	1.19039252627774e-08	0.640722912428337	0.358613845717311	0.80045455045329	-0.441746801415182	0.179353874519054	-1.76687219984857	-1.74606461116626	0.118265427583884	0.267349363468273
"ENSMUSG00000000126"	"Wnt9a"	"protein_coding"	"wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]"	0.821379352260303	0.461057248722284	0.766341371465059	0.823807841067021	0.902989856668181	0.0170463630016453	0.393632600314616	0.071179686925481	-0.192838634696201	-0.0608294738853602	-0.0423671123070426	0.0242997891880817	0.465009125864172	0.186585458712055
"ENSMUSG00000000127"	"Fer"	"protein_coding"	"FER tyrosine kinase [Source:MGI Symbol;Acc:MGI:105917]"	0.454588560621136	0.998671325374131	0.564988981912323	0.553408072472998	0.237102872374655	0.793866367193488	0.0340313104870675	0.0895439824858846	-0.0001647334042163	0.0446896245408341	-0.0427960485285555	-0.0898554436032342	0.0188454225972405	0.178557336081173
"ENSMUSG00000000131"	"Xpo6"	"protein_coding"	"exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]"	0.188642551597348	0.838915398072696	0.2529186910019	6.69496611897249e-13	9.61074404191958e-09	0.072074194209175	0.134781337852245	0.135533861091839	0.0172312618814239	0.0763825614866316	0.560815352187974	0.429553559155918	0.11264320330664	0.106894013996282
"ENSMUSG00000000134"	"Tfe3"	"protein_coding"	"transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]"	0.957317010100896	0.700027281689488	0.837863903695518	0.000192947221835133	0.000729183802684034	0.505386294450782	0.915624659442974	-0.00624229597275239	0.0372341722099785	0.0154959381186131	0.278630280317118	0.261719530111696	-0.0469734363737948	-0.00854866611145155
"ENSMUSG00000000142"	"Axin2"	"protein_coding"	"axin 2 [Source:MGI Symbol;Acc:MGI:1270862]"	0.910291236387016	0.154143196390322	0.407921968107496	0.628532024571931	0.743892050589841	1.86514722783771e-07	0.000409366412099095	0.0155346877627895	-0.164098790499991	-0.0742820513686007	0.0402974579940794	0.0285000884534341	0.488622866448357	0.355652146737082
"ENSMUSG00000000148"	"Brat1"	"protein_coding"	"BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]"	0.868578939823119	0.5696656479628	0.624086036024185	0.000375584288433671	0.000213533817792733	0.0700453450471155	0.777880429451894	-0.0275165241108102	-0.0783916012716843	-0.0529540626912473	0.376906533976075	0.413048460448422	0.184365310632568	0.0324590312544544
