"ensembl_gene_id"	"mgi_symbol"	"gene_biotype"	"description"	"P.Value_NAC_FENT_INPUT"	"P.Value_NAC_SAL_INPUT"	"P.Value_PFC_FENT_INPUT"	"P.Value_PFC_SAL_INPUT"	"P.Value_INPUT_F_FENT"	"P.Value_INPUT_M_FENT"	"P.Value_INPUT_FENT"	"logFC_NAC_FENT_INPUT"	"logFC_NAC_SAL_INPUT"	"logFC_PFC_FENT_INPUT"	"logFC_PFC_SAL_INPUT"	"logFC_INPUT_F_FENT"	"logFC_INPUT_M_FENT"	"logFC_INPUT_FENT"
"ENSMUSG00000071176"	"Arhgef10"	"protein_coding"	"Rho guanine nucleotide exchange factor 10 [Source:MGI Symbol;Acc:MGI:2444453]"	0.182869965407779	0.306461325418675	0.0103138446414048	0.348660315590229	0.900687257667854	0.881008922068042	0.985950677358058	-0.161184457357625	-0.136782298922012	0.326606858175403	0.122033723998358	0.0211981942126531	-0.0254281189407441	-0.00211496236404551
"ENSMUSG00000071180"	"Smim15"	"protein_coding"	"small integral membrane protein 15 [Source:MGI Symbol;Acc:MGI:1922866]"	7.63808849717269e-07	0.000114863080269395	0.0115610170810579	0.00822296114730478	0.727969988801074	0.502356544500247	0.818796255549056	-0.523286151056302	-0.433640423036401	-0.254391995727347	-0.279705244628987	-0.0468083555940053	0.0903958471099449	0.0217937457579698
"ENSMUSG00000071185"	"Or1i2"	"protein_coding"	"olfactory receptor family 1 subfamily I member 1 [Source:MGI Symbol;Acc:MGI:3031191]"	2.3920528991161e-16	3.83205153453758e-14	2.37020911584362e-15	1.08738450145101e-15	0.97096865656554	0.47027439452211	0.627347939583193	-2.43795426044571	-2.37356542833782	-2.37307722907261	-2.53616891287724	-0.0112151050110268	0.222993584805381	0.105889239897177
"ENSMUSG00000071192"	"Wfikkn1"	"protein_coding"	"WAP, FS, Ig, KU, and NTR-containing protein 1 [Source:MGI Symbol;Acc:MGI:2670967]"	4.41328766081512e-30	2.54963107999808e-25	2.02179002604843e-28	2.15234935492932e-28	0.633319655158505	0.692005147875273	0.954258325713448	-6.17146469010178	-5.53397930314304	-5.91532505237985	-6.19107903714577	0.191962333654935	-0.159351895241938	0.0163052192064983
"ENSMUSG00000071202"	"Ccdc78"	"protein_coding"	"coiled-coil domain containing 78 [Source:MGI Symbol;Acc:MGI:2685784]"	6.95755395387649e-25	9.35453577489542e-23	7.71845635177737e-24	2.18182839100038e-21	0.814450969707804	0.954916802295373	0.899728894531588	-4.05206828767122	-4.06462447024781	-3.9782763119169	-3.70568217010981	0.0781598585067513	-0.0188236460540896	0.0296681062263309
"ENSMUSG00000071203"	"Naip5"	"protein_coding"	"NLR family, apoptosis inhibitory protein 5 [Source:MGI Symbol;Acc:MGI:1298220]"	6.11516973398389e-08	0.00012265411546841	0.00191527939805338	2.23883987861907e-08	0.15480283490391	0.773004795357865	0.418833929167365	-1.87371077839641	-1.38005773013846	-1.01369578923279	-2.10875855778404	0.617186935324161	-0.124100781683006	0.246543076820577
"ENSMUSG00000071226"	"Cecr2"	"protein_coding"	"CECR2, histone acetyl-lysine reader [Source:MGI Symbol;Acc:MGI:1923799]"	7.30246123869413e-11	1.47375572970912e-10	6.66998667124371e-07	1.26405912238189e-05	0.664168574370809	0.667246352263736	0.541512732967652	0.967954840387982	1.04883562209935	0.701446153319653	0.629502442773228	-0.0755109160770484	-0.0747732363800644	-0.0751420762285564
"ENSMUSG00000071230"	"Npw"	"protein_coding"	"neuropeptide W [Source:MGI Symbol;Acc:MGI:2685781]"	0.869431654272134	0.0602414203575261	0.533718975674329	0.00879542764924278	0.61364724843913	0.883281921561515	0.644948623339342	0.0565159431906362	0.72697735343508	0.220888933682078	1.00172648746947	0.245718207583455	0.0713808444773711	0.158549526030413
"ENSMUSG00000071234"	"Syndig1l"	"protein_coding"	"synapse differentiation inducing 1 like [Source:MGI Symbol;Acc:MGI:2685107]"	0.000118850678609186	0.00203428985852307	0.414452614379484	0.328131546142852	0.950684471111474	0.839044977652869	0.851382524645985	0.440588510418466	0.382635133186841	0.0905980064221796	0.113897613964359	-0.00939374465985043	-0.0308552795848236	-0.020124512122337
"ENSMUSG00000071252"	"2210408I21Rik"	"protein_coding"	"RIKEN cDNA 2210408I21 gene [Source:MGI Symbol;Acc:MGI:1919621]"	0.00026197758431753	0.0228360155059228	0.0253414505740685	0.0124191592074518	0.759908138002523	0.539473903039199	0.515953076969493	0.315765067391334	0.210725266207586	0.192325954793262	0.226524379641364	-0.0353159494087314	-0.0709948816413379	-0.0531554155250347
"ENSMUSG00000071253"	"Slc25a16"	"protein_coding"	"solute carrier family 25 (mitochondrial carrier, Graves disease autoantigen), member 16 [Source:MGI Symbol;Acc:MGI:1920382]"	0.324225111998774	0.85901400190784	0.000424115859796548	0.00149145223678849	0.838165340416584	0.756246214082827	0.940104996830509	-0.0857256910396822	-0.0170572416256773	-0.331896443529888	-0.310248866358838	-0.0250186914080919	0.0380332648197053	0.00650728670580669
"ENSMUSG00000071256"	"Zfp213"	"protein_coding"	"zinc finger protein 213 [Source:MGI Symbol;Acc:MGI:3053094]"	0.00350328920527661	0.0566881813185811	0.858596694221851	0.58841739764245	0.673733165692177	0.378101269096362	0.357608159953977	0.298674271741362	0.211632467466905	0.0181157393156022	0.0577210906215639	-0.0587725677741795	-0.123349304305944	-0.0910609360400618
"ENSMUSG00000071262"	"Zfp957"	"protein_coding"	"zinc finger protein 957 [Source:MGI Symbol;Acc:MGI:2145729]"	2.67549097269983e-11	3.61668325817869e-14	4.32233854134251e-12	3.84115246484155e-12	0.649344378950854	0.238358823212156	0.24852845583642	-1.68029812411248	-2.25407203710191	-1.83123566259088	-1.92565912388049	-0.132969068888081	-0.346560150742271	-0.239764609815176
"ENSMUSG00000071265"	"1700086L19Rik"	"transcribed_unitary_pseudogene"	"RIKEN cDNA 1700086L19 gene [Source:MGI Symbol;Acc:MGI:1921534]"	6.29777260576543e-05	0.147286739052454	0.446649263659391	0.92356580830132	0.215505834273642	0.934614198357538	0.349250304144459	0.931513342315177	0.352152111597074	0.170826978566555	0.0225133358502898	-0.382994246041454	-0.0252054106318194	-0.204099828336637
"ENSMUSG00000071266"	"Zfp946"	"protein_coding"	"zinc finger protein 946 [Source:MGI Symbol;Acc:MGI:1921399]"	0.0265623176146993	0.00357453632744334	0.0032219286409032	0.0184033576673274	0.715853357906438	0.0643633980195315	0.28715173821049	0.18198150282051	0.269137777574925	0.253205961201302	0.20949940360959	-0.0413869781166785	0.213261063921434	0.0859370429023776
"ENSMUSG00000071267"	"Zfp942"	"protein_coding"	"zinc finger protein 942 [Source:MGI Symbol;Acc:MGI:1920483]"	3.14351214426093e-05	0.00022592516617817	0.000515715071429121	0.358022742749225	0.668561501776873	0.224853695105194	0.575550215377206	0.325739800698249	0.314743835131047	0.273661332954888	0.0723293283882274	0.0439873172987659	-0.125386583080154	-0.0406996328906941
"ENSMUSG00000071280"	"Gm10322"	"lncRNA"	"predicted gene 10322 [Source:MGI Symbol;Acc:MGI:3704363]"	0.123115461637768	0.0172221874614936	0.316760311299911	0.137309690228449	0.651486503745235	0.128244549893757	0.163228442662998	-0.371996635714433	-0.646183367484401	0.247528871241016	-0.386944532903593	-0.152708536605039	-0.518856494642041	-0.33578251562354
"ENSMUSG00000071281"	"Zfp65"	"protein_coding"	"zinc finger protein 65 [Source:MGI Symbol;Acc:MGI:107769]"	1.93014041879765e-05	4.35258117705648e-05	0.725679337078924	0.00561319298007571	0.0655989234240896	0.740560121640788	0.279623749267216	0.368135088925036	0.387814523576486	0.028805489421428	0.246060292591887	0.2102733360948	-0.0372922443437567	0.0864905458755216
"ENSMUSG00000071291"	"Zfp58"	"protein_coding"	"zinc finger protein 58 [Source:MGI Symbol;Acc:MGI:99205]"	1.25905222526442e-08	3.58758067397365e-06	0.000175459921004273	0.0322556719021243	0.600178652516075	0.291905743271579	0.265297889565624	0.898123663366521	0.771463540613687	0.56199384148712	0.322528754882978	-0.101492249574374	-0.204804813380838	-0.153148531477606
"ENSMUSG00000071302"	"Zfp1006"	"protein_coding"	"zinc finger protein 1006 [Source:MGI Symbol;Acc:MGI:1919389]"	1.36712200021494e-09	2.05228936510183e-05	2.36725176563447e-06	0.00845347098871513	0.186471709168183	0.0353551698453369	0.0164917294277263	0.591946425134303	0.423922270746965	0.444843703806207	0.24314378329049	-0.156199428658958	-0.251660180116335	-0.203929804387647
"ENSMUSG00000071303"	"Rps8-ps1"	"transcribed_processed_pseudogene"	"ribosomal protein S8, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3647445]"	8.07467395489761e-13	3.62968391540523e-06	4.37076357341539e-09	3.27495152188395e-08	0.577048789508816	0.591235182583121	0.439446241074041	-0.761933377298863	-0.475660528750322	-0.594638672332673	-0.576159273499712	0.0666349429281143	0.0641610663852648	0.0653980046566895
"ENSMUSG00000071317"	"Bves"	"protein_coding"	"blood vessel epicardial substance [Source:MGI Symbol;Acc:MGI:1346013]"	0.203398337971709	0.189517237571165	0.0384974217810368	0.0257733792791301	0.364271886188761	0.890529058552845	0.459674410751496	-0.271080273619554	-0.310147345783084	0.459833724182109	0.520653427603734	0.272531009241505	0.041203775088364	0.156867392164935
"ENSMUSG00000071324"	"Armc2"	"protein_coding"	"armadillo repeat containing 2 [Source:MGI Symbol;Acc:MGI:1916449]"	0.00511003198566793	0.812411073371649	0.000585458803369443	0.004296391248941	0.00696244799921893	0.6513787305383	0.10305463319176	-0.383658588171242	-0.0348717902797514	-0.494079733885343	-0.423189925478446	0.521673781960458	-0.0847459533316961	0.218463914314381
"ENSMUSG00000071335"	"Mfsd4b3-ps"	"transcribed_unprocessed_pseudogene"	"major facilitator superfamily domain containing 4B3, pseudogene [Source:MGI Symbol;Acc:MGI:3773841]"	2.25855531839146e-35	2.81026831986695e-32	1.08874206551922e-34	1.61390708138757e-31	0.375587740880435	0.85613558641209	0.45024247746158	-4.37913699633178	-4.26167562851143	-4.38691337947836	-4.0194193743384	0.202543510364423	0.0413106940521244	0.121927102208274
"ENSMUSG00000071341"	"Egr4"	"protein_coding"	"early growth response 4 [Source:MGI Symbol;Acc:MGI:99252]"	6.88932903054633e-05	2.78968518451733e-05	3.83334788077024e-07	1.16575303884642e-08	0.669927084642739	0.378565830054097	0.746766356446043	-0.850769038517137	-1.00053715978516	-1.16947758213485	-1.42019485134545	0.120423824672328	-0.249396905693865	-0.0644865405107683
"ENSMUSG00000071343"	"Gm10327"	"processed_pseudogene"	"predicted pseudogene 10327 [Source:MGI Symbol;Acc:MGI:3704356]"	0.000134900818881536	0.940370040391704	3.88823945339142e-05	0.0637963525978139	0.279081764272872	0.236439192360147	0.110925660931041	0.547048955163367	-0.0111614359441352	0.614053386027279	0.273401573972688	-0.207026232113242	-0.226670642518828	-0.216848437316035
"ENSMUSG00000071359"	"Tbpl1"	"protein_coding"	"TATA box binding protein-like 1 [Source:MGI Symbol;Acc:MGI:1339946]"	0.0353902364290231	0.0170135159298196	0.810738831218142	0.486089859451714	0.617269969676658	0.881615766711032	0.646495558329032	0.126298464227336	0.159695727171794	0.0145456214249875	0.0444137438716665	0.0416782076916729	0.0124084745719015	0.0270433411317872
"ENSMUSG00000071369"	"Map3k5"	"protein_coding"	"mitogen-activated protein kinase kinase kinase 5 [Source:MGI Symbol;Acc:MGI:1346876]"	9.90089439006718e-12	4.72732284619552e-08	0.00139388946280642	1.40049930663289e-06	0.515730728469736	0.358499104695095	0.848386316355754	0.987821326152159	0.813258186429429	0.405397473831233	0.679501565552419	-0.108460448103711	0.153504928859325	0.0225222403778074
"ENSMUSG00000071379"	"Hpcal1"	"protein_coding"	"hippocalcin-like 1 [Source:MGI Symbol;Acc:MGI:1855689]"	0.000347707010200216	0.00555076184752605	0.0280153358237666	0.000324973590072231	0.346758781068378	0.813233301502982	0.405146916491258	0.448766400906884	0.377282196525984	0.274498682254574	0.487384033768474	-0.158597001158914	-0.0396838757111198	-0.099140438435017
"ENSMUSG00000071398"	"2410004P03Rik"	"protein_coding"	"RIKEN cDNA 2410004P03 gene [Source:MGI Symbol;Acc:MGI:1920917]"	0.26082241009886	0.491828821550653	0.075921206548648	0.00466202199961116	0.0396260113430593	0.880724663893449	0.116189578253932	0.298651967018555	-0.201736895850303	-0.489819621573401	-0.835494150259778	-0.782706615326633	-0.0560653932030208	-0.419386004264827
"ENSMUSG00000071414"	"Gm6736"	"processed_pseudogene"	"predicted gene 6736 [Source:MGI Symbol;Acc:MGI:3643048]"	0.151550467181939	0.000925868765625252	0.00641608584323257	7.41069704151337e-06	0.595047395150671	0.0268825208568779	0.0520356784708187	0.138291746194635	0.36795589685529	0.277244309080575	0.504936590158689	0.0719457165568962	0.305513207129829	0.188729461843362
"ENSMUSG00000071415"	"Rpl23"	"protein_coding"	"ribosomal protein L23 [Source:MGI Symbol;Acc:MGI:1929455]"	2.54953147906102e-21	3.36993817353748e-18	6.15735114840034e-15	2.93611552469924e-11	0.891406608178311	0.666330206288109	0.834796635607994	-0.806699287646151	-0.762502583481793	-0.59026389716779	-0.486492277180248	-0.0107250603766733	0.0338972744300881	0.0115861070267074
"ENSMUSG00000071419"	"Rps15-ps2"	"processed_pseudogene"	"ribosomal protein S15, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3647234]"	1.48738799198043e-13	1.43097261780752e-09	1.02156793974476e-09	4.44952629390998e-05	0.616972280046482	0.524805809644651	0.422378800189241	-1.05579803347826	-0.880260251541424	-0.828249880010014	-0.528435318975022	0.0789446252197741	0.100446669769489	0.0896956474946315
"ENSMUSG00000071424"	"Grid2"	"protein_coding"	"glutamate receptor, ionotropic, delta 2 [Source:MGI Symbol;Acc:MGI:95813]"	5.82821496774618e-05	0.000520238014618449	6.63963237827326e-05	8.45422017634051e-06	0.84004182500595	0.611523999745438	0.82841030721834	0.436335562168945	0.410136081077332	0.445830124230054	0.53073140260674	0.0289002855268272	-0.072789940539371	-0.0219448275062719
"ENSMUSG00000071451"	"Psmg4"	"protein_coding"	"proteasome (prosome, macropain) assembly chaperone 4 [Source:MGI Symbol;Acc:MGI:1916916]"	1.07585038499182e-08	1.22105532073354e-06	3.59990370496938e-05	9.95354430775102e-06	0.498765883903438	0.349337795706235	0.853262830221711	-0.910556245634535	-0.821600299333337	-0.631923028438799	-0.715822755457827	-0.132087898835176	0.183073362964215	0.0254927320645193
"ENSMUSG00000071454"	"Dtnb"	"protein_coding"	"dystrobrevin, beta [Source:MGI Symbol;Acc:MGI:1203728]"	0.374217037336513	0.00348807325059861	0.195297626526194	0.28996990686639	0.854759035711907	0.825034002678206	0.978538001811674	0.047285975279368	0.178144675138022	-0.071304342317752	-0.0609072134367201	0.0137315548648287	-0.0165851216000412	-0.00142678336760627
"ENSMUSG00000071456"	"1110002L01Rik"	"lncRNA"	"RIKEN cDNA 1110002L01 gene [Source:MGI Symbol;Acc:MGI:1915821]"	0.000620907427511767	0.000553983980430721	0.00239224798678849	7.95443953919485e-07	0.270982210013015	0.830322345219548	0.352098119532959	0.368423060469016	0.412530851338587	0.333334338281526	0.607182325587569	0.160188280777351	0.0310295584975369	0.0956089196374439
"ENSMUSG00000071470"	"Ccnb1ip1"	"protein_coding"	"cyclin B1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2685134]"	3.8311482663618e-20	5.84638453087158e-15	2.02778978549492e-15	9.8307854932515e-15	0.60240617303564	0.758477052075322	0.879769144806452	-2.8537398098142	-2.38492880895319	-2.27833294048671	-2.29233751195973	-0.153691384829983	0.0906468950065662	-0.0315222449117085
"ENSMUSG00000071477"	"Zfp777"	"protein_coding"	"zinc finger protein 777 [Source:MGI Symbol;Acc:MGI:1919556]"	5.53817942736731e-09	1.24531657561745e-07	2.70045091518524e-05	1.26688901843586e-05	0.335682808972595	0.873369068199999	0.427184198132475	0.421737615578818	0.412392218293109	0.290596932340596	0.318760521669113	-0.085063023609866	-0.0140286116689925	-0.0495458176394292
